   1.6352   4.8913   6.7036   8.5446
   1.3723   5.8462   8.7316  11.9069
 -.198835   2.8190   5.9788  10.8294
   0.7177   5.2381  10.1134  10.4091
   1.5189   5.1368   8.5013  11.3740
   0.5085   4.1357   8.8828  12.2128
 -.730763   3.4461   6.7441   9.6318
   0.5983   7.3447   8.5631  10.5684
   0.6850   1.9164   6.4854  12.7366
 -.114479   3.8644   7.8821   8.9835
 -.287646   5.7346   8.0754   9.9538
   1.9935   4.0853   6.5982   7.4663
   1.1942   4.3018   7.2682  11.3957
   1.6319   4.2791   7.6623   8.1914
   1.4167   3.4489   5.7135   6.5967
   1.8504   3.1592   7.0671  10.6014
   2.7996   4.4914   9.4739  11.9606
   0.6421   5.9913   8.2742   9.4768
   0.9183   3.4775   6.8632   7.8154
   1.0274   3.2746   8.2580  10.7954
   0.1396   3.9232   6.4658  10.0580
   0.1916   6.2177  10.0808  11.5042
   0.5443   5.2036   7.8391  13.4048
   2.4287   3.8473   9.1728   7.9415
   1.2338   5.0395   8.9343  10.5989
   1.3882   5.4691  10.4850  13.5097
   1.2499   3.3139   5.1687  10.3962
   0.2329   4.2284   8.6650   9.4057
   0.1513   5.1680   8.4091   9.1789
   1.7024   4.4796   9.6296   9.7178
   1.3546   1.8670   6.5431   8.7549
   1.5997   2.3458   7.4300  11.2774
   3.0457   1.8730   8.4575   7.2035
  -1.1812   3.7214   8.1354   9.7141
 -.614016   3.4986   8.6251  10.6749
   1.5314   4.0627   8.3996  11.9936
 -.876978   4.6020   6.7518   9.6453
   0.2157   3.8031   7.2028  12.3146
   0.4840   2.9532   8.3696   9.0023
 -0.86138   4.7761   9.9202  10.3646
   0.8534   5.8149  12.4575  13.0860
   0.3012   4.1065   7.5596   8.9602
   1.1341   4.9150   9.1174  10.7056
   1.2209   2.0219   7.5340   8.1205
   2.2194   6.1293  10.2928   9.9617
   1.0121   2.9396   6.9977   9.5544
     -1.3   4.6781   7.9425  14.3693
   2.2752   4.3068   7.9770   8.0922
   0.4302   5.2350   6.9615   9.2312
   0.6813   4.5422  10.2352  10.9779
 -.113116   3.4111   8.6416   9.7141
   1.2384   4.1458   8.3010   8.2116
   0.7403   2.9616   6.5397   4.7584
 -.868295   4.8308   8.5044  10.7077
   1.4949   2.8849   7.8814  11.3010
   0.9062   3.7438   8.2855   6.7051
   2.2751   4.1170   8.2064   9.8131
 -.038507   5.6651   8.4358   8.6325
   3.3473   1.9547   8.1399   9.3332
   -1.517   5.8680   7.5956   9.2960
   0.7927   4.1227   8.5946  11.8005
   0.7363   3.4548   6.0792   8.3412
   2.8297   3.3843   9.1986   8.4639
   1.8937   4.2614   8.4648   5.2360
   2.1950   3.8521   7.8325   8.1324
   0.6544   3.6566   9.4418  10.4989
   0.3733   2.1118   7.2455  10.0668
   0.2258   7.8206   8.9597  10.5506
   2.5809   6.3483   9.0943   9.3861
 -.349031   5.1364   9.3588   9.2740
  -1.3453   3.5792   7.8771  13.9763
   0.8996   6.2882   7.6863   6.6540
   2.2821   4.0269   8.3534   6.9655
   1.3028   3.0603   9.0206  11.5164
   1.3616   5.6239   9.0790   9.5353
   1.5439   5.4055   8.5966   9.4270
   1.5236   4.3643  10.4302  12.1047
   1.3478   2.5326   6.8960   9.5565
   1.1619   5.4196   7.4754   9.4789
   1.8394 -.289998   5.1466  11.2472
   1.6725   4.0471   8.0155   9.8381
   1.2370   4.2727   7.2570  11.4780
 .0370634   6.0643   8.7904  12.1356
   2.7494   2.5893   7.8869  11.6653
   1.9960   2.2585   6.8641   9.6704
   2.4312   5.2180   8.9329   9.8077
 -.673588   5.1433   7.3514   8.7658
   2.1183   4.0312   6.8329  10.6086
   2.2974   5.7121   9.0087  10.1674
 .0404131   5.1454   9.0594  10.2965
  -1.0965   1.7931   6.6938  10.8502
 -.214995   5.2441   8.7690  11.1291
   0.1526   4.1501   8.0086  10.1632
   2.7686   5.7835   8.5829   7.7437
   0.6853   6.3112   6.5254   8.0214
   2.1935   5.0532   7.1882   9.2286
   0.7087   4.3981   7.7287   8.9448
   1.5332   3.3674   7.6230  10.6011
   2.7170   1.8402   8.8738   8.9595
   0.2140   2.1103   7.4460   8.8609
 -.348096   5.9339   7.2643  11.0003
  -1.3631   4.9282   7.7208  12.6078
   1.5133   1.5711   6.6576   8.7333
   1.9106   4.2970   9.9432  12.1748
   1.6275   4.5464   9.8173   9.3182
 -.735563   3.7027   6.3775   9.4688
   2.3806   4.6053   9.6107   8.2824
   0.3646   3.1111   7.2652   7.8013
   2.2553   4.5003   8.6390   8.5752
   1.6100   5.2851   8.9733   9.5533
   0.9722   4.4385   7.0545   9.5336
   3.8037   1.0878   6.2191   7.1768
 -.202273   4.3334   6.1161   7.4339
   1.6226   5.9488   7.9422   9.2925
   1.0076   4.0057   5.7709   5.4142
   2.3958   4.7671   8.7832   8.4558
   1.9173   3.6905   5.7705   7.2086
 -.059563   3.7019   7.8955  10.8728
 -.463514   4.6114   9.2931   9.8607
   1.5247   1.9653   7.0477  12.0418
   0.7165   3.0472   7.4226  10.7568
 0.036214   4.1795   7.4135  10.5734
   0.4086   3.8965   7.7122  12.6971
 -.453003   1.8135   6.4616  10.9342
   2.0110   3.2979  10.1212  11.4120
   0.5917   5.5647  10.3729   9.1141
   0.8686   1.6985   6.5108   7.4293
   4.2764   4.7474   6.9378   9.2163
   2.2077   2.8526   6.9418   7.9116
   2.5641   3.9766   9.1047   7.4789
   1.2749   3.1274   8.9333  10.3792
